id,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,label,elevation,MNDWI,NDBI,NDVI,BSI
328_sample,1711,686,230,477,212,757,2646,3432,3687,3760,7,4.291351318,-0.563985375,-0.366061504,0.891254168,-0.341438356
329_sample,719.5,524.5,2230,2036.5,2147,2258.5,2952.5,3020.5,3446.5,3110.5,7,-0.433654785,0.477866473,-0.654584734,0.232323232,-0.328924265
330_sample,1434,576,211,453,194,766,2425,3070,2840,3350,7,-3.164154053,-0.519872814,-0.32896584,0.872116018,-0.304124813
331_sample,1682,661,232,421,181,692,2691,3416,3476,3868,7,0.214920044,-0.599619591,-0.347809228,0.901011758,-0.331179321
332_sample,2334.5,1668.5,652.5,889,945,1395,1999,2166.5,2287.5,2383,7,13.59510803,-0.448425624,0.010168758,0.415313225,0.054586382
333_sample,1861,1223,755.5,810.5,943,1306,1509.5,1645,1790,1858,7,-11.26696777,-0.39322478,0.019446727,0.309915843,0.048322273
334_sample,746,521.5,2343,2373.5,2497,2679,3190,3210,3287,3151.5,7,0.418945313,0.521718224,-0.63005207,0.136583679,-0.26901837
335_sample,3283,2417,625,966,1194,1561,1869,2041,2196,2223,7,0.83493042,-0.545304778,0.198393867,0.295575221,0.226911483
336_sample,3263,2420,500,853,1004,1609,1918,2077,2074,2262,7,0.607727051,-0.585519922,0.222784336,0.34762833,0.247478439
337_sample,1463,847,243,491,393,865,1959,2239,2328,2455,7,-0.482116699,-0.497441146,-0.228171986,0.711135612,-0.161508922
338_sample,2269,1116,323,563,596,1135,2258,2744,2686,3114,7,2.710723877,-0.60240113,-0.084157417,0.636806825,-0.024514811
339_sample,2382,1659,347,528,672.5,856,985.5,1105,1261,1294,7,-0.330688477,-0.637113402,0.307713423,0.304370313,0.310241287
340_sample,3021.5,2112,603,728,965,1202,1677.5,1908.5,1931,2248,7,-0.443237305,-0.611681558,0.220191822,0.333563536,0.222758991
341_sample,2005,1066,308,613,451,997,1479,1824,2386,1995,7,-2.903274536,-0.531703591,-0.08676839,0.682058513,-0.046213592
342_sample,1512,1151,677,744,803,907,1294,1359,1210,1419,7,2.233886719,-0.340425532,0.110947832,0.202185792,0.101856259
343_sample,3228,2126,555,799,1180,1437,1763,1927,2002,2155,7,0.256225586,-0.603178545,0.234416826,0.258328096,0.265757358
344_sample,1252,750,286,474,360,737,1454,1639,1774,1744,7,-1.931884766,-0.450753187,-0.172504957,0.662605436,-0.122004357
345_sample,2016,1544,251,414.5,489.5,713.5,913.5,1003,1060,1137.5,7,-0.656616211,-0.658917918,0.310793238,0.368183285,0.3129831
346_sample,811,554,2266.5,2421.5,2418.5,2733,3132,3063.5,3158.5,3058.5,7,-0.077148438,0.498221191,-0.591384305,0.132687825,-0.253683055
347_sample,1851,1368,459,656,812,1026,1336,1485,1672,1628,7,-0.565490723,-0.476665337,0.05080897,0.346215781,0.110972048
348_sample,3293,2420,698,1160,1512,1660,2062,2162,2568,2431,7,0.13092041,-0.479002919,0.123699027,0.258823529,0.190682691
349_sample,1968,915,309,488,569,874,1805,2236,2719,2874,7,0.510375977,-0.602605863,-0.160230425,0.653892944,-0.088230009
350_sample,2830,1965,417,698,820,1263,1648,1814,1732,2032,7,0.390106201,-0.60430839,0.240683911,0.357366771,0.258837731
351_sample,2909,2451.5,1220,1574,1806,2057.5,2143.5,2221,2137.5,2209.5,2,27.21568298,-0.297791657,0.152878232,0.084062381,0.168163518
352_sample,2171.5,1826.5,906.5,1108,1374.5,1590,1743.5,1844,1754.5,1931.5,2,51.17132568,-0.324287239,0.106214977,0.121444551,0.142580957
353_sample,3082,2295.4,1431.5,1899.6,2222.5,2447.166667,2534.8,2615.5,2644,2583.833333,2,21.328125,-0.237353461,0.076493189,0.086612555,0.131023454
354_sample,2014,1900.5,1481,1797,1975,1907.5,1837.5,1808,1908,1725.5,2,116.2392578,-0.056940436,0.027027027,-0.0172547,0.081322852
355_sample,4037,3591,1306,2066,2778,3062,3178,3306,3361,3254,2,43.82284546,-0.322955923,0.091376048,0.094966607,0.187075422
356_sample,1247,1012,703,772,828,958,1132,1199,947,1145,2,1.598602295,-0.235264983,0.136736554,0.067042254,0.11409396
357_sample,3316,3098.5,1576,2099,2609,2872.5,2915,3020,3085,3110.5,2,6.24017334,-0.224746076,0.036088111,0.083596769,0.119402985
358_sample,3100.5,2851.5,1821,2263,2647,2898.5,2928.5,2950,2998,3032.5,2,1.226196289,-0.156148038,0.016807412,0.062178919,0.087872048
359_sample,1717,1664,1206,1548,1650,1746,1674,1727,1762,1694,2,40.18829346,-0.051761103,-0.012934751,0.032825322,0.062983425
360_sample,1753,1573,909,994.5,1102,1231,1230,1265,1255.5,1330,2,27.97201538,-0.276069154,0.1653648,0.065111347,0.137563502
361_sample,4919.75,4522,2609,3456.333333,3790.75,3461.5,3604.5,3719,4149.333333,3715.5,2,15.02929688,-0.174713719,0.084949784,0.045161155,0.126199994
362_sample,2853,2746.5,1471,1934,2502,2748,2817,2887,2904,2972.5,2,14.89758301,-0.191978274,-0.008858781,0.07436182,0.100719424
363_sample,3194,3129,1576,2015,2380,2446,2474.5,2519,2519.5,2543,2,108.5941162,-0.226339029,0.118053732,0.028472293,0.152903459
364_sample,1659,1340,953,1044,923.5,1420.5,1444.5,1608,1311.5,1646.5,2,45.90942383,-0.227524972,0.116983673,0.17360179,0.065607592
365_sample,3466.5,3211,1593,2135,2715,3001,3060,3143.5,3230,3249.5,2,13.13415527,-0.237704186,0.035316957,0.086627418,0.123449498
366_sample,2244.5,2207,1599,1884,1852.5,2141,2043.5,2095,1738.5,1983,2,66.65258789,-0.08731985,0.12703992,-0.031746032,0.102158854
367_sample,3204,3100,1428,1752,2138,2409.5,2378.5,2447.5,2377,2425,2,108.5941162,-0.292978208,0.14818133,0.052934662,0.168033235
368_sample,3655,3296,1708,2008,2180,2423,2462,2628,2754,2969,2,2.768920898,-0.290835246,0.140583554,0.11633563,0.133339808
369_sample,2394,1658,999,1362,1606,1871,2107,2414,2476,2570,2,68.6416626,-0.274760383,-0.016837782,0.213130818,0.070234114
370_sample,2520,2146,1238,1528,1880,1948,2069,2158,2336,2317,2,35.39178467,-0.245059289,0.037891269,0.108159393,0.103586657
371_sample,2618,2359,1114,1488,1846,2003,2079,2190,2316,2317,2,38.76171875,-0.275207014,0.061207945,0.112926478,0.130985559
372_sample,2453.5,2206,1441,1716.5,1878,2136,2084,2137,1947,2148,2,55.92724609,-0.176738609,0.115100557,0.018039216,0.122222942
373_sample,2643.5,2232,456,774.75,1127.111111,1497.666667,1624,1687.25,1400,1578.5,2,7.423400879,-0.546697872,0.307530605,0.107984523,0.340277846
374_sample,2237,2239,1779,1968,1995,2062,1943.5,1961,1865,1928,2,151.7076416,-0.063971463,0.09068747,-0.033678756,0.074657186
375_sample,1921,1467,905.5,1155,1498,1607.5,1802,1921,2088.5,1978,2,67.34771729,-0.249024707,-0.041775783,0.164645197,0.066271636
376_sample,3550.5,2942,1228,1763,2144,2235.5,2297.8,2392,2542,2394,2,4.280883789,-0.336407265,0.165531391,0.084933845,0.203338792
377_sample,2160,2051,1562,1815.5,1915,1931.5,1895,1896.5,1908.5,1870,2,59.00305176,-0.086655767,0.061816394,-0.001700013,0.080113975
378_sample,2020,1761,519,640,722,851.5,995.5,1054,1204,1178.5,2,3.179595947,-0.518796992,0.253101737,0.250259605,0.228219485
379_sample,3722,3182,1280,1986,2602,2947,3068,3139,3166,3122,2,45.63919067,-0.304134548,0.080720093,0.09778086,0.174373259
380_sample,3997.5,3349,1629,2584,3336,3582,3617,3675.5,3660,3519.5,2,20.1104126,-0.21476867,0.044074437,0.046312178,0.161972668
381_sample,2096,2024.5,1167,1411,1478,1924,1848.5,1873,1485.5,1810.5,2,68.33410645,-0.195323638,0.170459305,0.002530791,0.147996467
382_sample,2542.5,2302.5,1730,2109,2347,2474.5,2486,2513.5,2336,2418.5,2,55.65527344,-0.093195743,0.042328585,-0.002348922,0.091954665
383_sample,1813,1386,1086,1426,1708,1751,1970,2061,2228,2178,2,21.64251709,-0.119481321,-0.102697352,0.132113821,0.030285296
384_sample,3230,2614.5,1695,1879,1789,2141,2233.5,2408,2432,2646.5,2,6.174636841,-0.26443531,0.140939597,0.15233357,0.097528974
385_sample,3560,3060,1424,2196,2900,3246,3277,3350,3262,3287,2,19.76577759,-0.236970118,0.043682205,0.05874716,0.159160237
386_sample,3032,2357,1094,1772,2248,2450,2541,2547,2380,2342,2,16.42340088,-0.262281432,0.120473023,0.02852204,0.206305689
387_sample,1812,1732,1192,1436,1618,1634,1640,1655,1732,1654,2,63.49719238,-0.115763547,0.022573363,0.034029851,0.079634876
388_sample,2612,2058,1246,1582,1958,2072,2219,2318,2482,2381,2,53.97467041,-0.245588937,0.02552022,0.118018018,0.101470234
389_sample,922,847,654,661,683,733,747,771,756,787,2,5.410858154,-0.164876816,0.098927294,0.050729673,0.064676617
390_sample,1443,1148,1124,1232,1346,1177,1183,1191,1388,1162,2,40.23779297,-0.078878505,0.019427764,0.015362107,0.052254292
391_sample,1872,1371,610,756,882,1098,1536,1621,1802,1763,2,2.04309082,-0.424657534,0.019052803,0.342771982,0.066202091
392_sample,2315,1889,1246,1532,1766,1779,1953,2093,2394,2205,2,38.21020508,-0.203535222,-0.016776386,0.150961538,0.057116954
393_sample,1785.2,1665.25,1544.5,1669.5,1664.25,1780.666667,1709.625,1709.272727,1546,1616,2,10.07318115,-0.033490607,0.071805956,-0.036835137,0.054885741
394_sample,1970,1854,1416,1662,1816,1849,1864,1863,1952,1829,2,100.079834,-0.084801762,0.004589495,0.036093418,0.058428851
395_sample,1587,1506,919.5,1125,1184,1364.5,1327,1292,1127.5,1257.5,2,81.34191895,-0.170353982,0.16927611,-0.024443002,0.150269821
396_sample,2661,2113,1156,1482,1830,1955,2221,2399,2442,2608,2,48.39703369,-0.284576394,0.042915932,0.143258427,0.110396835
397_sample,2350,1943,1244,1608,1805,2132,2230.5,2293,2270,2254,2,11.58398438,-0.187468418,0.017316017,0.114110429,0.083583257
398_sample,5458.5,5041,1885,2759.6,3736,3944.333333,4030.25,4126.5,4370,4201.5,2,6.638427734,-0.328409243,0.110749351,0.078213669,0.190265057
399_sample,2660,2322,1066,1638,2150,2660,2680,2744,2490,2670,2,10.88037109,-0.237785016,0.033009709,0.073275862,0.149892422
400_sample,2307,1878,987,1460,1848,1920,1981,2123,2204,2184,2,7.234710693,-0.224847359,0.022833075,0.087857848,0.131227879
401_sample,5389,4827,2285.833333,3165.333333,3667.6,3830.5,3800.5,3867.5,4037.333333,3794,2,15.34832764,-0.259946226,0.143392624,0.047986571,0.177729181
402_sample,2687,2502,1188,1550,1850,2002,2023,2085,1982,2068,2,3.222961426,-0.268350248,0.150995931,0.034446764,0.177371221
403_sample,2536,2157,1028,1338,1596,1834,2007,2072,2025,2138,2,3.110534668,-0.309241094,0.112036834,0.118475559,0.150173974
404_sample,2401,2242,1084,1236,1364,1481,1534,1587,1650,1663,2,20.75344849,-0.320318944,0.185386324,0.094890511,0.158639791
405_sample,1421.5,1238.5,1113.5,1239.4,1512.909091,1432.333333,1575.636364,1574.333333,1695.4,1569.3,2,2.183578491,-0.068435492,-0.087875774,0.056880713,0.021853097
406_sample,2530,2020,1202,1510,1866,1981,2267,2367,2564,2501,2,79.60705566,-0.252475248,-0.006674519,0.157562077,0.077186964
407_sample,2658.5,1928,952,1273,1669,1759,1873,1926.5,2151,1903.5,2,16.88262939,-0.352410022,0.105520324,0.12617801,0.164793755
408_sample,1602,1385,1005,1284,1426,1457,1497,1506,1584,1510,2,2.034301758,-0.11018711,0.005649718,0.052491694,0.078155599
409_sample,2502,2254.5,1189,1353,1554,1910.5,1905,1896,1760,1935,2,49.14666748,-0.298054475,0.174096668,0.062160531,0.158029979
410_sample,1650,1339,940,1096,1256,1338,1339,1353,1300,1322,2,35.18444824,-0.201747997,0.118644068,0.017214397,0.129420909
411_sample,2210,1944,1003,1227,1406,1650,1667.5,1780,1637.5,1895.5,2,63.61096191,-0.286005237,0.148797921,0.076063742,0.155917845
412_sample,2389,2108,1481,1779,1966,2087.5,2106,2123.5,2021,2064.5,2,54.76147461,-0.146353167,0.083446712,0.013794833,0.10856561
413_sample,2976,2396,991,1672,2116,2541,2647,2711,2366,2607,2,18.62905884,-0.280550775,0.114189442,0.05577867,0.205349746
414_sample,1634.5,1472.5,1223,1389.5,1433.5,1372,1360.5,1383.5,1455.5,1341,2,81.5982666,-0.081018519,0.057928803,0.007615092,0.067780388
415_sample,1383,1307.5,863.5,1008.5,1023.5,1095.5,999.5,1020,950.5,1002,2,144.730957,-0.156596278,0.185343904,-0.03698075,0.14038621
416_sample,2780.5,2499,1930,2324,2503.5,2573.5,2481,2537.5,2614,2513,2,62.50964355,-0.089430894,0.03086477,0.021592574,0.075295075
417_sample,4071,3527,1423,2281,3081,3672.5,3650.5,3798.5,3438,3674,2,14.18792725,-0.281801008,0.084298841,0.054763,0.190710064
418_sample,4983.5,4715.666667,2564.8,3272,3624,3525.5,3703,3817,3974,3764.25,2,12.90655518,-0.207316335,0.112698856,0.046064754,0.136581211
419_sample,1653.5,1647,1369,1506,1467,1545,1455.5,1415.5,1406.5,1388,2,133.1083984,-0.046684602,0.080718954,-0.021054463,0.058514247
420_sample,1453,1297.5,877,1108,1303,1377,1375.5,1419,1393.5,1409,2,15.20343018,-0.134713003,0.020902863,0.033562025,0.096588083
421_sample,71.625,87.85714286,271.4,635.3,243.8,272,47.85714286,58.15,42.5,32,4,-4.058959961,0.797361813,0.255202629,-0.703108627,0.002423231
422_sample,104.5,90.5,720.5,991.5,611,531,244,255.5,216,189.5,4,-9.964172363,0.809306569,-0.347893916,-0.477629988,-0.13377724
423_sample,74.66666667,91.25,284.75,640.4333333,275,303.6666667,59.5,64.9,55.5,39,4,0.477050781,0.791171398,0.147247119,-0.664145234,0.013648991
424_sample,2066.8,1557.5,1688.75,2136,2276.8,2391.25,2317,2320.5,2284.666667,2261,4,-2.418426514,0.016465214,-0.05006741,0.001724592,0.044509149
425_sample,105,99,678,884,524,403,268,281,220,213,4,-4.661621094,0.787664307,-0.353846154,-0.408602151,-0.17616241
426_sample,52.5,63.5,450,656,336.5,353,164,122,102,105,4,0.598083496,0.851799577,-0.32038835,-0.534777651,-0.173219979
427_sample,82,71,308,441,176,171,134,114,92,98,4,6.874176025,0.686424474,-0.057471264,-0.313432836,-0.215805471
428_sample,246,188,540,890,929,663,230,246,216,171,4,52.60235596,0.566901408,0.064935065,-0.622707424,0.216986017
429_sample,515.5,207.5,2378,2428,2356,2425.5,2206.5,2202.5,2049,2028.5,4,-3.591308594,0.649736708,-0.597972314,-0.06969353,-0.213125985
430_sample,100,89,708.5,926.5,518,446,250,269,218,225,4,-6.113098145,0.805163176,-0.371069182,-0.407608696,-0.199741016
431_sample,538.5,482,1074,1232,1419,1340,1214,1130,1377,1011,4,11.12524414,0.391697261,-0.437744714,-0.015021459,-0.111942838
432_sample,178.5,183,657.5,1059.5,613.5,553.5,306.5,347,249.5,317,4,3.014160156,0.711631664,-0.16588785,-0.421784473,-0.067686875
433_sample,259,162,670,954,506,500,431,438,399,413,4,4.556396484,0.572959604,-0.212765957,-0.118232044,-0.165757906
434_sample,1972,1807.5,1904.25,2324.4,2459,2532.6,2435.625,2324.5,2208,2154,4,1.449951172,0.082022158,-0.05645933,-0.053781873,0.037310157
435_sample,738.5,675.5,1443,1672,1617,1751,1698,1699.5,1720,1796,4,3.987792969,0.387264053,-0.399227171,0.030866047,-0.146325994
436_sample,2076,1858,1949,2470.571429,2663.2,2850.222222,2663,2610.75,2405.428571,2350.2,4,0.124786377,0.08678439,-0.073509723,-0.050856247,0.0423122
437_sample,476,410,455.6666667,737.6,1213.5,1222.5,1079.5,1056.833333,1057,962.5,4,2.030883789,0.21555702,-0.378995434,-0.068927549,0.055223026
438_sample,1413.5,673.75,2668,2728,2600,2648.5,2506,2450.75,2376,2393.666667,4,-11.88476563,0.317397078,-0.253991292,-0.045016077,-0.113773116
439_sample,130,115,1098,1416,811,775,316,363,299,259,4,-22.51690674,0.831824062,-0.393939394,-0.461261261,-0.195038494
440_sample,1129.25,466.5,2302,2373,2314,2379.5,2265.5,2239.5,2121,2172.5,4,9.238037109,0.355128846,-0.305130375,-0.043517475,-0.124551088
441_sample,874,518,1621.333333,2233,2264,2501.333333,2437.5,2459.333333,2439.333333,2342.75,4,11.60675049,0.437399421,-0.472434608,0.037278526,-0.128171884
442_sample,158,133,640,891.5,363,272,188,246.5,143.5,166,4,3.222167969,0.69890424,0.048092869,-0.433366239,-0.201226523
443_sample,2616,2113,2712,2902,3110,3174,3206,3063,3140,2838,4,0.604553223,0.051830373,-0.091035441,0.0048,-0.010882709
444_sample,1453,1057,1332,1578,1720,1771,1827,1874,1890,1889,4,-11.47012329,0.041240515,-0.130720909,0.047091413,-0.007662236
445_sample,237.5,250,299.5,284.5,309,314,324,350,339,346.5,4,11.01080322,0.090038314,-0.176062446,0.046296296,-0.077637131
446_sample,186,176,734,1042,453,331,346,372.5,208.5,180,4,3.037597656,0.697068404,-0.057034221,-0.369614512,-0.191906418
447_sample,1979,1880.25,1866.8,2331.333333,2481,2600,2528,2417.25,2252.833333,2211,4,1.363891602,0.081741551,-0.064707967,-0.048199134,0.03967147
448_sample,286,143,2150,2322,2228,2089,1388,1558,1228,1048,4,18.79119873,0.780674847,-0.622192867,-0.289351852,-0.146639511
449_sample,73,68,536.8,662,362.6666667,266.5,112,114,93,84,4,10.41375732,0.801360544,-0.120481928,-0.591806876,-0.18220498
450_sample,139.5,130.5,698.5,1007.5,398,293.5,218,367.5,142.5,1079,4,5.977539063,0.756756757,-0.010638298,-0.472710453,-0.220166848
451_sample,51,48,541.5,704,426.5,460,185,194,150,125,4,-0.070129395,0.864900662,-0.492537313,-0.479618387,-0.183062446
452_sample,184.75,172.5,1982,2740,2672,2312,1016,1053.333333,801.25,616,4,-0.03717041,0.873664416,-0.62525355,-0.538616569,0.013031915
453_sample,358,256,2063,2592,2528,2567.5,1513.5,1510,1337,1044,4,6.856033325,0.757288136,-0.577581121,-0.308150065,-0.08176901
454_sample,1550,890,1248,1706,2046,2197,2217,2259,2248,2194,4,-10.98919678,0.047911548,-0.183780937,0.047042385,0.014100395
455_sample,156,145,226,265,777,905,397,403,335,278,4,0.892562866,0.258907363,-0.364562118,-0.397482014,0.248995984
456_sample,310.5,317.5,357,349,348.5,369.5,346.5,373,342,382,4,11.48071289,0.058377559,-0.048275862,-0.009413469,-0.029455081
457_sample,51,47,500,661,422.5,383.5,172,165,144,119,4,0.85748291,0.856741573,-0.476923077,-0.491615181,-0.152572707
458_sample,75.14285714,91.42857143,34.25,214.6666667,42,34.21428571,1,1,1,1,4,0.113983154,0.481432797,0.973733583,-0.953488372,0.537379889
459_sample,127,99,2008,2216,1346,956,298,322,269,189,4,22.41491699,0.891591976,-0.358585859,-0.666873065,-0.2144
460_sample,77.8125,80.5,269.6,618,240.8,270.6666667,53.5,63.5,50.5,38.5,4,-14.3894043,0.776340609,0.21285923,-0.653278407,-0.002328904
461_sample,1103,1131,1110,1144,1176,1074,1049,1093,1140,1029,4,3.742370605,0.018246551,-0.016495765,-0.015544041,0.00640318
462_sample,195,190,285,268,308,381,374,373,332,352,4,10.59965515,0.157667387,-0.259962049,0.0375,-0.101785714
463_sample,132,131,323,337,231,213,144,150,122,112,4,2.145172119,0.437100213,0.039370079,-0.30878187,-0.101485148
464_sample,121.5,96,525.5,1052,745,498,199,186,175.5,136.5,4,24.27679443,0.792927141,-0.181818182,-0.618685497,0.105582137
465_sample,316.5,199.5,446.5,764.25,1255.166667,1245.75,1080.75,1044.5,950,937,4,2.027709961,0.414295628,-0.500197394,-0.138387121,0.059015105
466_sample,1235,689,1794,1856.5,1778,1829,1744,1761,1747,1717.5,4,40.79534912,0.201035096,-0.171696848,-0.008794326,-0.080561489
467_sample,1286,811,1838,1906,1838,1875,1816,1833,1786,1793,4,10.4017334,0.194235589,-0.162760417,-0.014348786,-0.074096028
468_sample,110,96,828,1166,881,752,332,329,255,205,4,-2.572662354,0.827586207,-0.397260274,-0.551056338,-0.044358727
469_sample,2140,1892,1866,2404,2566,2717,2549,2438,2258,2223,4,1.088897705,0.058098592,-0.026830377,-0.06384743,0.065911665
470_sample,1310.75,1076,1372,1497.8,1640,1786,1745.5,1752.2,1749.666667,1721.4,4,5.191162109,0.066600203,-0.143417291,0.032353231,-0.0281464
471_sample,500.5,212,1777,1850.5,1837,1879.5,1791.5,1770,1782,1741,4,7.642700195,0.574223735,-0.561445783,-0.015197568,-0.207156788
472_sample,268,262,647,1116,490,426,359,376,321,1171.5,4,3.956787109,0.612716763,-0.089983022,-0.20838471,-0.121668598
473_sample,249,167,1194,1422,1262,1222,769,797,666,570,4,26.44250488,0.701974865,-0.455737705,-0.309128631,-0.10353011
474_sample,1595.5,1323.5,2136,2583,2660,2553.5,2389.5,2186.5,2226,2009,4,0.092010498,0.236328826,-0.16498757,-0.088825215,-0.012358573
475_sample,79.5,88.07692308,589.1666667,784.5,397.4,320.2857143,134,143,110.375,106,4,23.25689697,0.815972222,-0.162606978,-0.565260204,-0.189250069
476_sample,51,43.5,506,666.5,388.5,347,130,142.5,146,107.5,4,0.163146973,0.857839721,-0.482233503,-0.453695042,-0.194686211
477_sample,173.5,157,615,942,386.5,282,269,391,118.5,204,4,2.586669922,0.688928732,0.188356164,-0.530693069,-0.134132199
478_sample,739,266.5,2628,2689,2623,2681,2517.5,2459,2393,2318.5,4,30.06420898,0.568844807,-0.528097063,-0.04585327,-0.197900513
479_sample,703.5,563.5,1292,1523,1470,1569,1329.5,1396.5,1117,1143.5,4,-0.018920898,0.368066472,-0.227135402,-0.136451488,-0.051391162
480_sample,526.6666667,218,2197.666667,2879.166667,3104,3241,3027.333333,3069,3112.5,3032,4,-0.356933594,0.690726694,-0.710556446,0.001367329,-0.187846025
481_sample,307,307,498,875,1230,1130,668,613,519,362,4,-9.991210938,0.480541455,-0.256658596,-0.40651801,0.203602193
482_sample,248,201,1196,1458,778,768,304,315,278,240,4,10.6809082,0.70926143,-0.057034221,-0.473484848,-0.1792
483_sample,1596,876,2558,2636,2557,2590,2445,2441,2331.333333,2347.5,4,6.127197266,0.245746692,-0.187234765,-0.046164337,-0.081431784
484_sample,79,76,529.5,656.2727273,360.5714286,302.6666667,112.5,121.5,105,86.5,4,10.00128174,0.785113749,-0.141304348,-0.548941393,-0.181485668
485_sample,943,358.25,2314,2383.5,2346,2368.25,2282.333333,2247.75,2184.5,2160,4,2.624511719,0.433037727,-0.39696243,-0.03564728,-0.155313002
486_sample,79.4375,81.12,256.875,658,240.4,270.1666667,44,60,34.5,27.5,4,1.086914063,0.784558013,0.394404827,-0.748999636,0.046567274
487_sample,150,97,1966,2222,1676,1378,647,616,606,456,4,30.39794922,0.873524452,-0.603174603,-0.468886941,-0.169622556
488_sample,104.5,90.5,734.5,1014,621,531,244,255.5,217.5,189.5,4,-9.584442139,0.813142602,-0.350931677,-0.481216458,-0.135022355
489_sample,102.5,118,696,956,572,528.5,342,353,302.5,289,4,-1.565093994,0.806329712,-0.49382716,-0.308176101,-0.193664076
490_sample,165,154.5,228,290,779.5,899.5,380,393,335.5,269.5,4,1.326782227,0.274725275,-0.340659341,-0.398206278,0.25265252
